"Scenario","SACE","Set_and_parameter","N","dim_x","Replacements","Estimator","Mean","Emp.SD","Est.SE","MSE","Coverage","k","Bias","EstCombi","protected","Pi_as","label","shape"
"A",3.7118,"B 3.7118",2000,3,"Wout","Crude",3.6549,0.1368,0.1268,0.0219,0.902,1,-0.0569000000000002,"Crude Wout","High","0.5","SACE: 3.71, 4.99, 8.63","24"
"A",3.7118,"B 3.7118",2000,3,"Wout","OLS inter",3.7081,0.1254,0.1239,0.0157,0.949,1,-0.00370000000000026,"OLS inter","High","0.5","SACE: 3.71, 4.99, 8.63","24"
"A",3.7118,"B 3.7118",2000,3,"With","Crude",3.6671,0.1363,0.1454,0.0205,0.948,1,-0.0447000000000002,"Crude With","High","0.5","SACE: 3.71, 4.99, 8.63","21"
"A",3.7118,"B 3.7118",2000,3,"With","BC",3.7128,0.1335,0.1441,0.0178,0.97,1,0.00099999999999989,"BC With","High","0.5","SACE: 3.71, 4.99, 8.63","21"
"A",3.7118,"B 3.7118",2000,3,"With","WLS inter",3.7119,0.133,0.1305,0.0177,0.942,1,9.99999999997669e-05,"WLS inter","High","0.5","SACE: 3.71, 4.99, 8.63","21"
"A",3.7118,"B 3.7118",2000,3,"","DingLu MA",3.844,0.1246,NA,0.033,NA,1,0.1322,"DingLu MA","High","0.5","SACE: 3.71, 4.99, 8.63","21"
"A",4.9918,"B 4.9918",2000,5,"Wout","Crude",4.8985,0.2197,0.1925,0.0569,0.892,2,-0.0932999999999993,"Crude Wout","High","0.5","SACE: 3.71, 4.99, 8.63","24"
"A",4.9918,"B 4.9918",2000,5,"Wout","OLS inter",4.9834,0.1708,0.1657,0.0292,0.943,2,-0.00839999999999996,"OLS inter","High","0.5","SACE: 3.71, 4.99, 8.63","24"
"A",4.9918,"B 4.9918",2000,5,"With","Crude",4.8529,0.2103,0.2111,0.0635,0.903,2,-0.1389,"Crude With","High","0.5","SACE: 3.71, 4.99, 8.63","21"
"A",4.9918,"B 4.9918",2000,5,"With","BC",4.9877,0.1794,0.1962,0.0322,0.961,2,-0.00409999999999933,"BC With","High","0.5","SACE: 3.71, 4.99, 8.63","21"
"A",4.9918,"B 4.9918",2000,5,"With","WLS inter",4.9902,0.1774,0.1705,0.0315,0.939,2,-0.00159999999999982,"WLS inter","High","0.5","SACE: 3.71, 4.99, 8.63","21"
"A",4.9918,"B 4.9918",2000,5,"","DingLu MA",5.3993,0.1781,NA,0.1978,NA,2,0.407500000000001,"DingLu MA","High","0.5","SACE: 3.71, 4.99, 8.63","21"
"A",8.6254,"B 8.6254",2000,10,"Wout","Crude",8.6095,0.3544,0.3232,0.1257,0.922,3,-0.0159000000000002,"Crude Wout","High","0.5","SACE: 3.71, 4.99, 8.63","24"
"A",8.6254,"B 8.6254",2000,10,"Wout","OLS inter",8.6211,0.241,0.2426,0.058,0.947,3,-0.00430000000000064,"OLS inter","High","0.5","SACE: 3.71, 4.99, 8.63","24"
"A",8.6254,"B 8.6254",2000,10,"With","Crude",8.5622,0.351,0.3591,0.1271,0.955,3,-0.0632000000000001,"Crude With","High","0.5","SACE: 3.71, 4.99, 8.63","21"
"A",8.6254,"B 8.6254",2000,10,"With","BC",8.629,0.2503,0.2868,0.0626,0.98,3,0.00359999999999872,"BC With","High","0.5","SACE: 3.71, 4.99, 8.63","21"
"A",8.6254,"B 8.6254",2000,10,"With","WLS inter",8.6284,0.2494,0.2462,0.0622,0.943,3,0.00299999999999834,"WLS inter","High","0.5","SACE: 3.71, 4.99, 8.63","21"
"A",8.6254,"B 8.6254",2000,10,"","DingLu MA",8.9002,0.2506,NA,0.1383,NA,3,0.274799999999999,"DingLu MA","High","0.5","SACE: 3.71, 4.99, 8.63","21"
"B",3.6335,"C 3.6335",2000,3,"Wout","Crude",3.5012,0.1686,0.1117,0.0459,0.707,1,-0.1323,"Crude Wout","High","0.75","SACE: 3.63, 4.85, 8.34","24"
"B",3.6335,"C 3.6335",2000,3,"Wout","OLS inter",3.6296,0.1169,0.1041,0.0137,0.921,1,-0.00390000000000024,"OLS inter","High","0.75","SACE: 3.63, 4.85, 8.34","24"
"B",3.6335,"C 3.6335",2000,3,"With","Crude",3.6065,0.1259,0.1267,0.0166,0.941,1,-0.0270000000000001,"Crude With","High","0.75","SACE: 3.63, 4.85, 8.34","21"
"B",3.6335,"C 3.6335",2000,3,"With","BC",3.633,0.1265,0.1265,0.016,0.951,1,-0.000500000000000167,"BC With","High","0.75","SACE: 3.63, 4.85, 8.34","21"
"B",3.6335,"C 3.6335",2000,3,"With","WLS inter",3.634,0.1264,0.1114,0.016,0.915,1,0.000499999999999723,"WLS inter","High","0.75","SACE: 3.63, 4.85, 8.34","21"
"B",3.6335,"C 3.6335",2000,3,"","DingLu MA",3.7871,0.1338,NA,0.0415,NA,1,0.1536,"DingLu MA","High","0.75","SACE: 3.63, 4.85, 8.34","21"
"B",4.8531,"C 4.8531",2000,5,"Wout","Crude",4.5778,0.2517,0.1798,0.139,0.62,2,-0.275300000000001,"Crude Wout","High","0.75","SACE: 3.63, 4.85, 8.34","24"
"B",4.8531,"C 4.8531",2000,5,"Wout","OLS inter",4.8429,0.1445,0.1408,0.021,0.937,2,-0.0102000000000002,"OLS inter","High","0.75","SACE: 3.63, 4.85, 8.34","24"
"B",4.8531,"C 4.8531",2000,5,"With","Crude",4.6503,0.1657,0.1894,0.0685,0.839,2,-0.202800000000001,"Crude With","High","0.75","SACE: 3.63, 4.85, 8.34","21"
"B",4.8531,"C 4.8531",2000,5,"With","BC",4.8469,0.1497,0.1752,0.0224,0.974,2,-0.00620000000000065,"BC With","High","0.75","SACE: 3.63, 4.85, 8.34","21"
"B",4.8531,"C 4.8531",2000,5,"With","WLS inter",4.8481,0.15,0.146,0.0225,0.94,2,-0.00500000000000078,"WLS inter","High","0.75","SACE: 3.63, 4.85, 8.34","21"
"B",4.8531,"C 4.8531",2000,5,"","DingLu MA",4.9442,0.1618,NA,0.0345,NA,2,0.0911,"DingLu MA","High","0.75","SACE: 3.63, 4.85, 8.34","21"
"B",8.3404,"C 8.3404",2000,10,"Wout","Crude",7.9463,0.3888,0.2962,0.3063,0.701,3,-0.394100000000001,"Crude Wout","High","0.75","SACE: 3.63, 4.85, 8.34","24"
"B",8.3404,"C 8.3404",2000,10,"Wout","OLS inter",8.3273,0.2102,0.2031,0.0443,0.944,3,-0.0131000000000014,"OLS inter","High","0.75","SACE: 3.63, 4.85, 8.34","24"
"B",8.3404,"C 8.3404",2000,10,"With","Crude",7.7102,0.3038,0.3248,0.4893,0.517,3,-0.6302,"Crude With","High","0.75","SACE: 3.63, 4.85, 8.34","21"
"B",8.3404,"C 8.3404",2000,10,"With","BC",8.3362,0.2122,0.2522,0.045,0.98,3,-0.00420000000000087,"BC With","High","0.75","SACE: 3.63, 4.85, 8.34","21"
"B",8.3404,"C 8.3404",2000,10,"With","WLS inter",8.3341,0.2136,0.2068,0.0456,0.947,3,-0.0063000000000013,"WLS inter","High","0.75","SACE: 3.63, 4.85, 8.34","21"
"B",8.3404,"C 8.3404",2000,10,"","DingLu MA",8.4177,0.2163,NA,0.0527,NA,3,0.0772999999999993,"DingLu MA","High","0.75","SACE: 3.63, 4.85, 8.34","21"
"A",3.5906,"B 3.5906",2000,3,"Wout","Crude",3.4226,0.2087,0.1401,0.0717,0.738,1,-0.168,"Crude Wout","Low","0.5","SACE: 3.59, 4.9, 8.3","24"
"A",3.5906,"B 3.5906",2000,3,"Wout","OLS inter",3.5857,0.1332,0.1284,0.0178,0.933,1,-0.00489999999999968,"OLS inter","Low","0.5","SACE: 3.59, 4.9, 8.3","24"
"A",3.5906,"B 3.5906",2000,3,"With","Crude",3.5546,0.1418,0.1573,0.0214,0.971,1,-0.0359999999999996,"Crude With","Low","0.5","SACE: 3.59, 4.9, 8.3","21"
