"Scenario","SACE","Set_and_parameter","N","dim_x","Replacements","Estimator","Mean","Emp.SD","Est.SE","MSE","Coverage","k","Bias","EstCombi","protected","Pi_as","label","shape"
"A",3.364,"B 3.364",2000,3,"Wout","Crude",3.3173,0.1231,0.1256,0.0173,0.937,1,-0.0467,"Crude Wout","High","0.5","SACE: 3.36, 6.12, 9.48","24"
"A",3.364,"B 3.364",2000,3,"Wout","OLS inter",3.3584,0.1235,0.1237,0.0153,0.956,1,-0.00559999999999983,"OLS inter","High","0.5","SACE: 3.36, 6.12, 9.48","24"
"A",3.364,"B 3.364",2000,3,"With","Crude",3.3286,0.1317,0.1449,0.0186,0.969,1,-0.0354000000000001,"Crude With","High","0.5","SACE: 3.36, 6.12, 9.48","21"
"A",3.364,"B 3.364",2000,3,"With","BC",3.3604,0.1292,0.145,0.0167,0.973,1,-0.00360000000000005,"BC With","High","0.5","SACE: 3.36, 6.12, 9.48","21"
"A",3.364,"B 3.364",2000,3,"With","WLS inter",3.3606,0.1289,0.129,0.0166,0.958,1,-0.00340000000000007,"WLS inter","High","0.5","SACE: 3.36, 6.12, 9.48","21"
"A",3.364,"B 3.364",2000,3,"","DingLu MA",3.3651,0.109,NA,0.0119,NA,1,0.0011000000000001,"DingLu MA","High","0.5","SACE: 3.36, 6.12, 9.48","21"
"A",6.1153,"B 6.1153",2000,5,"Wout","Crude",6.015,0.1833,0.1766,0.0436,0.906,2,-0.100300000000001,"Crude Wout","High","0.5","SACE: 3.36, 6.12, 9.48","24"
"A",6.1153,"B 6.1153",2000,5,"Wout","OLS inter",6.1077,0.1723,0.1755,0.0297,0.957,2,-0.00760000000000005,"OLS inter","High","0.5","SACE: 3.36, 6.12, 9.48","24"
"A",6.1153,"B 6.1153",2000,5,"With","Crude",6.0385,0.1841,0.2016,0.0398,0.958,2,-0.0768000000000004,"Crude With","High","0.5","SACE: 3.36, 6.12, 9.48","21"
"A",6.1153,"B 6.1153",2000,5,"With","BC",6.1136,0.1781,0.198,0.0317,0.969,2,-0.00170000000000048,"BC With","High","0.5","SACE: 3.36, 6.12, 9.48","21"
"A",6.1153,"B 6.1153",2000,5,"With","WLS inter",6.1127,0.1775,0.1793,0.0315,0.953,2,-0.00260000000000016,"WLS inter","High","0.5","SACE: 3.36, 6.12, 9.48","21"
"A",6.1153,"B 6.1153",2000,5,"","DingLu MA",6.1211,0.1753,NA,0.0307,NA,2,0.00579999999999981,"DingLu MA","High","0.5","SACE: 3.36, 6.12, 9.48","21"
"A",9.4806,"B 9.4806",2000,10,"Wout","Crude",9.3532,0.2862,0.271,0.0981,0.91,3,-0.127400000000002,"Crude Wout","High","0.5","SACE: 3.36, 6.12, 9.48","24"
"A",9.4806,"B 9.4806",2000,10,"Wout","OLS inter",9.4741,0.242,0.2433,0.0585,0.952,3,-0.00650000000000084,"OLS inter","High","0.5","SACE: 3.36, 6.12, 9.48","24"
"A",9.4806,"B 9.4806",2000,10,"With","Crude",9.3762,0.2928,0.3122,0.0965,0.941,3,-0.1044,"Crude With","High","0.5","SACE: 3.36, 6.12, 9.48","21"
"A",9.4806,"B 9.4806",2000,10,"With","BC",9.4855,0.2456,0.2801,0.0603,0.975,3,0.00489999999999924,"BC With","High","0.5","SACE: 3.36, 6.12, 9.48","21"
"A",9.4806,"B 9.4806",2000,10,"With","WLS inter",9.4839,0.247,0.2466,0.0609,0.951,3,0.00329999999999941,"WLS inter","High","0.5","SACE: 3.36, 6.12, 9.48","21"
"A",9.4806,"B 9.4806",2000,10,"","DingLu MA",9.4817,0.2363,NA,0.0558,NA,3,0.00109999999999921,"DingLu MA","High","0.5","SACE: 3.36, 6.12, 9.48","21"
"B",3.3803,"C 3.3803",2000,3,"Wout","Crude",3.3175,0.1432,0.1081,0.0244,0.84,1,-0.0628000000000002,"Crude Wout","High","0.75","SACE: 3.38, 6, 9.12","24"
"B",3.3803,"C 3.3803",2000,3,"Wout","OLS inter",3.3743,0.0967,0.1003,0.0094,0.956,1,-0.00600000000000023,"OLS inter","High","0.75","SACE: 3.38, 6, 9.12","24"
"B",3.3803,"C 3.3803",2000,3,"With","Crude",3.3284,0.1062,0.1251,0.014,0.965,1,-0.0519000000000003,"Crude With","High","0.75","SACE: 3.38, 6, 9.12","21"
